Timestamp (ms),Humidity (%),Temperature (°C),Temperature (°F)
642000,42.22,25.04,77.08
644000,44.83,25.38,77.68
646000,46.39,24.73,76.51
648000,46.09,24.4,75.92
650000,46.42,25.47,77.85
652000,44.39,24.44,76.0
654000,45.07,23.96,75.12
656000,44.77,24.97,76.95
658000,43.96,24.55,76.19
660000,40.87,25.07,77.12
662000,45.37,24.34,75.81
664000,45.42,25.06,77.11
666000,47.99,24.77,76.59
668000,45.79,24.61,76.31
670000,42.51,25.05,77.09
672000,45.13,24.77,76.59
674000,45.26,24.95,76.91
676000,43.58,25.27,77.49
678000,46.85,25.76,78.36
680000,44.51,25.95,78.71
682000,43.55,25.25,77.46
684000,44.23,24.29,75.71
686000,42.44,25.19,77.34
688000,44.7,24.44,75.99
690000,46.44,24.64,76.36
692000,46.08,24.19,75.54
694000,46.66,26.33,79.4
696000,46.23,26.03,78.85
698000,46.12,25.59,78.06
700000,44.27,24.96,76.93
702000,47.09,24.82,76.67
704000,42.46,23.72,74.7
706000,44.78,25.1,77.18
708000,41.91,23.92,75.06
710000,45.64,25.34,77.61
712000,45.22,25.01,77.01
714000,43.32,24.4,75.91
716000,42.78,24.84,76.71
718000,44.83,24.31,75.76
720000,43.13,24.86,76.75
722000,46.09,25.66,78.18
724000,44.72,25.09,77.16
726000,44.65,25.01,77.02
728000,45.76,24.77,76.59
730000,47.58,25.41,77.74
732000,42.31,25.12,77.21
734000,44.02,24.61,76.29
736000,44.07,24.85,76.73
738000,46.56,24.24,75.64
740000,42.8,24.16,75.5
742000,42.56,25.02,77.03
744000,42.96,24.63,76.33
746000,45.35,25.33,77.6
748000,42.51,25.18,77.33
750000,42.86,24.76,76.57
752000,44.35,24.9,76.82
754000,43.82,24.56,76.21
756000,47.24,25.27,77.49
758000,44.6,24.77,76.58
760000,45.24,24.88,76.78
762000,44.52,25.04,77.08
764000,43.72,26.02,78.83
766000,44.3,24.61,76.29
768000,44.28,25.75,78.34
770000,44.09,24.38,75.89
772000,43.26,24.19,75.55
774000,42.81,24.55,76.19
776000,43.44,25.34,77.62
778000,43.65,26.06,78.9
780000,47.38,25.01,77.01
782000,45.59,24.17,75.5
784000,44.71,25.15,77.27
786000,44.66,24.95,76.91
788000,43.43,24.84,76.71
790000,41.96,25.17,77.31
792000,47.92,26.11,79.0
794000,43.61,25.65,78.17
796000,45.07,25.47,77.84
798000,45.87,25.21,77.38
800000,44.31,25.17,77.3
802000,45.66,24.66,76.39
804000,46.94,24.7,76.47
806000,48.4,23.37,74.07
808000,44.96,25.75,78.34
810000,43.78,25.72,78.29
812000,48.96,26.13,79.04
814000,45.1,24.77,76.58
816000,44.57,24.53,76.15
818000,44.99,25.55,77.99
820000,43.01,25.26,77.47
822000,45.82,24.19,75.55
824000,44.42,24.82,76.68
826000,45.42,25.5,77.91
828000,45.42,25.28,77.5
830000,43.76,25.38,77.69
832000,41.85,25.76,78.36
834000,46.55,25.59,78.06
836000,44.17,24.73,76.52
838000,46.56,25.49,77.89
840000,45.96,23.92,75.05
842000,44.6,24.44,76.0
844000,45.29,25.18,77.33
846000,43.97,25.21,77.39
848000,43.79,24.4,75.93
850000,46.83,25.09,77.16
852000,42.51,25.1,77.19
854000,49.7,24.68,76.43
856000,43.09,25.65,78.17
858000,44.65,25.41,77.74
860000,45.04,24.74,76.53
862000,41.74,24.22,75.59
864000,45.06,24.54,76.17
866000,44.96,25.81,78.46
868000,42.49,24.97,76.95
870000,45.01,25.08,77.14
872000,45.37,24.77,76.59
874000,44.53,24.37,75.87
876000,44.76,25.36,77.65
878000,47.47,25.56,78.0
880000,43.95,24.57,76.23
882000,43.78,24.72,76.49
884000,43.07,25.54,77.98
886000,42.87,24.22,75.6
888000,43.72,25.16,77.28
890000,44.67,25.18,77.33
892000,47.29,25.33,77.59
894000,48.42,24.74,76.53
896000,44.41,24.7,76.47
898000,45.03,25.05,77.09
900000,43.0,25.11,77.21
902000,41.55,25.58,78.05
904000,46.47,25.8,78.44
906000,45.17,25.86,78.55
908000,45.56,24.09,75.36
910000,43.45,24.45,76.0
912000,44.44,25.23,77.42
914000,42.82,24.69,76.45
916000,43.3,25.65,78.17
918000,45.12,25.28,77.51
920000,47.0,24.43,75.97
922000,44.43,25.02,77.04
924000,42.05,25.55,78.0
926000,47.26,24.86,76.75
928000,48.51,24.65,76.36
930000,45.06,25.49,77.89
932000,44.79,25.31,77.55
934000,45.19,25.21,77.38
936000,46.89,25.34,77.6
938000,45.47,24.9,76.81
940000,42.25,24.15,75.47
942000,44.44,24.87,76.77
944000,46.62,25.34,77.62
946000,44.97,24.81,76.67
948000,45.57,25.83,78.49
950000,44.16,24.32,75.77
952000,43.78,25.18,77.32
954000,45.54,24.99,76.99
956000,46.25,25.23,77.42
958000,45.57,25.32,77.58
960000,45.0,24.79,76.63
962000,43.28,24.96,76.93
964000,44.03,25.59,78.07
966000,45.96,25.23,77.42
968000,44.17,25.27,77.48
970000,44.0,24.9,76.81
972000,44.58,25.2,77.36
974000,45.29,24.96,76.92
976000,45.48,24.47,76.04
978000,43.38,24.87,76.77
980000,44.54,24.99,76.98
982000,45.94,25.57,78.02
984000,46.44,25.17,77.3
986000,47.55,25.51,77.91
988000,44.02,24.41,75.93
990000,45.53,25.67,78.2
992000,44.67,23.96,75.13
994000,43.12,25.18,77.33
996000,44.61,25.13,77.24
998000,47.66,25.78,78.4
1000000,44.17,24.69,76.43
1002000,45.4,24.77,76.59
1004000,45.78,25.04,77.07
1006000,43.68,24.24,75.63
1008000,43.29,25.0,76.99
1010000,46.49,24.8,76.64
1012000,43.84,25.07,77.12
1014000,42.82,25.43,77.78
1016000,41.91,24.08,75.34
1018000,46.84,25.71,78.27
1020000,44.14,24.8,76.64
1022000,42.48,24.78,76.6
1024000,42.97,25.31,77.55
1026000,43.45,25.56,78.01
1028000,44.78,24.8,76.64
1030000,46.19,25.73,78.31
1032000,46.19,24.67,76.4
1034000,46.73,25.76,78.37
1036000,42.66,24.47,76.05
1038000,46.59,25.35,77.62
1040000,44.02,24.53,76.16
1042000,42.43,25.01,77.01
1044000,44.21,25.48,77.86
1046000,45.88,24.16,75.49
1048000,47.13,25.42,77.76
1050000,46.15,25.03,77.06
1052000,45.26,25.03,77.06
1054000,45.72,24.59,76.26
1056000,47.04,25.44,77.79
1058000,47.15,25.56,78.01
1060000,46.27,24.31,75.75
1062000,45.95,25.92,78.65
1064000,43.21,25.18,77.32
1066000,43.82,24.71,76.48
1068000,45.6,24.95,76.91
1070000,46.14,23.71,74.67
1072000,46.85,25.52,77.94
1074000,43.93,25.72,78.3
1076000,45.25,24.54,76.17
1078000,45.93,25.04,77.07
1080000,44.33,25.1,77.17
1082000,43.76,25.41,77.73
1084000,43.55,25.47,77.85
1086000,45.67,25.23,77.41
1088000,47.79,25.09,77.17
1090000,44.3,24.55,76.19
1092000,43.75,24.54,76.18
1094000,46.55,24.76,76.57
1096000,46.55,25.25,77.44
1098000,44.4,24.2,75.57
1100000,44.68,25.42,77.76
1102000,45.36,25.65,78.18
1104000,45.88,24.58,76.24
1106000,44.85,24.43,75.97
1108000,46.59,24.88,76.79
1110000,46.78,25.51,77.92
1112000,42.75,24.99,76.98
1114000,44.35,25.12,77.22
1116000,44.54,24.97,76.94
1118000,45.97,25.62,78.11
1120000,48.07,24.49,76.08
1122000,48.49,24.84,76.72
1124000,45.39,24.88,76.79
1126000,45.0,25.28,77.5
1128000,45.32,24.44,76.0
1130000,46.51,24.73,76.52
1132000,47.32,25.69,78.24
1134000,44.06,25.0,77.0
1136000,44.66,24.64,76.36
1138000,45.54,24.4,75.93
1140000,46.19,24.89,76.8
1142000,45.08,25.23,77.41
1144000,44.62,25.1,77.17
1146000,42.9,25.44,77.79
1148000,44.11,25.83,78.49
1150000,47.26,25.35,77.63
1152000,43.81,25.07,77.13
1154000,45.81,25.2,77.35
1156000,47.08,24.84,76.7
1158000,44.96,25.46,77.83
1160000,43.07,24.96,76.93
1162000,46.7,25.48,77.86
1164000,44.81,24.83,76.69
1166000,44.46,24.58,76.25
1168000,44.54,25.07,77.13
1170000,44.91,24.54,76.17
1172000,44.08,25.39,77.71
1174000,44.56,24.81,76.67
1176000,44.67,24.79,76.62
1178000,45.24,25.04,77.07
1180000,45.24,24.8,76.63
1182000,46.57,25.7,78.27
1184000,45.09,25.13,77.23
1186000,47.49,25.65,78.16
1188000,43.05,25.04,77.07
1190000,45.39,25.04,77.07
1192000,44.79,25.38,77.68
1194000,44.11,25.35,77.63
1196000,43.16,25.05,77.08
1198000,44.56,24.42,75.96
1200000,42.1,24.44,75.99
1202000,44.27,25.4,77.71
1204000,45.72,25.77,78.39
1206000,44.66,25.13,77.23
1208000,43.59,25.66,78.18
1210000,45.96,24.58,76.24
1212000,46.28,25.01,77.02
1214000,44.5,24.24,75.64
1216000,45.26,25.33,77.6
1218000,44.4,24.62,76.32
1220000,43.64,24.53,76.15
1222000,42.29,25.04,77.07
1224000,44.63,24.49,76.08
1226000,43.97,25.18,77.33
1228000,44.04,25.6,78.08
1230000,45.55,25.64,78.16
1232000,45.33,24.59,76.26
1234000,46.1,24.66,76.38
1236000,44.79,24.63,76.33
1238000,45.73,25.06,77.11
1240000,44.46,25.16,77.29
1242000,45.02,24.76,76.57
1244000,44.55,24.55,76.18
1246000,45.9,25.39,77.69
1248000,45.21,24.99,76.98
1250000,44.14,24.92,76.85
1252000,45.13,25.56,78.0
1254000,45.48,25.37,77.66
1256000,45.51,24.92,76.86
1258000,46.56,23.87,74.96
1260000,45.38,25.34,77.61
1262000,44.79,25.32,77.57
1264000,45.06,24.55,76.19
1266000,43.27,24.78,76.6
1268000,43.64,25.33,77.6
1270000,43.67,25.91,78.63
1272000,43.17,25.66,78.2
1274000,44.41,25.08,77.14
1276000,42.46,25.43,77.77
1278000,45.98,25.73,78.32
1280000,44.42,25.14,77.26
1282000,45.56,25.53,77.96
1284000,47.4,25.26,77.46
1286000,44.79,25.03,77.05
1288000,44.33,24.04,75.27
1290000,44.18,25.52,77.93
1292000,44.75,25.36,77.65
1294000,47.75,24.85,76.74
1296000,44.35,24.94,76.89
1298000,45.84,25.25,77.45
1300000,44.15,25.09,77.17
1302000,43.14,25.3,77.54
1304000,43.68,25.51,77.92
1306000,45.05,25.58,78.05
1308000,46.52,25.53,77.95
1310000,44.42,24.17,75.51
1312000,45.78,25.29,77.53
1314000,45.26,24.19,75.55
1316000,44.78,25.04,77.08
1318000,42.5,25.38,77.69
1320000,46.62,25.35,77.64
1322000,44.76,25.25,77.44
1324000,45.93,24.65,76.37
1326000,44.29,25.08,77.14
1328000,43.7,25.01,77.01
1330000,45.34,25.13,77.23
1332000,45.72,24.49,76.09
1334000,44.75,25.31,77.56
1336000,43.98,25.4,77.73
1338000,46.74,25.72,78.29
1340000,44.12,25.37,77.67
1342000,46.63,25.44,77.8
1344000,47.72,25.41,77.74
1346000,43.75,25.29,77.52
1348000,44.77,24.26,75.67
1350000,47.22,25.08,77.14
1352000,42.59,24.01,75.22
1354000,45.95,25.38,77.69
1356000,45.5,24.48,76.06
1358000,42.72,26.02,78.84
1360000,47.61,25.15,77.28
1362000,44.16,24.15,75.47
1364000,44.89,25.55,77.98
1366000,46.33,24.41,75.93
1368000,45.77,24.31,75.76
1370000,47.78,25.95,78.72
1372000,45.89,24.49,76.08
1374000,45.71,24.79,76.63
1376000,44.59,25.45,77.82
1378000,45.33,25.26,77.47
1380000,45.57,24.98,76.96
1382000,43.32,25.3,77.54
1384000,46.4,24.34,75.82
1386000,46.71,24.84,76.71
1388000,46.62,24.7,76.46
1390000,44.58,25.06,77.11
1392000,45.0,24.55,76.19
1394000,42.19,25.03,77.05
1396000,42.73,25.2,77.37
1398000,42.3,25.14,77.25
1400000,47.82,25.76,78.37
1402000,44.51,24.52,76.13
1404000,47.27,24.48,76.06
1406000,46.49,24.96,76.92
1408000,44.03,24.95,76.91
1410000,47.0,25.05,77.08
1412000,47.46,25.45,77.8
1414000,45.41,25.54,77.97
1416000,44.07,25.43,77.78
1418000,43.82,25.25,77.46
1420000,46.34,24.75,76.55
1422000,43.66,25.31,77.56
1424000,46.0,25.11,77.19
1426000,45.9,24.79,76.62
1428000,46.37,24.71,76.49
1430000,46.91,25.73,78.32
1432000,44.91,24.85,76.73
1434000,43.86,24.56,76.21
1436000,45.46,24.75,76.55
1438000,45.01,24.44,75.99
1440000,48.28,24.75,76.55
1442000,43.05,24.88,76.78
1444000,45.25,25.25,77.45
1446000,46.48,24.77,76.59
1448000,44.71,24.88,76.78
1450000,44.8,25.57,78.02
1452000,44.85,25.33,77.59
1454000,44.93,25.02,77.04
1456000,44.29,24.95,76.92
1458000,44.65,24.88,76.79
1460000,46.24,26.09,78.96
1462000,44.97,25.15,77.26
1464000,43.55,23.63,74.54
1466000,43.79,25.11,77.19
1468000,48.47,24.32,75.77
1470000,46.14,25.3,77.54
1472000,46.13,24.28,75.7
1474000,43.97,24.77,76.59
1476000,45.39,25.12,77.22
1478000,44.06,25.36,77.64
1480000,46.93,25.37,77.66
1482000,43.37,25.67,78.2
1484000,42.85,25.09,77.16
1486000,45.53,24.99,76.98
1488000,44.95,25.65,78.17
1490000,44.76,24.35,75.83
1492000,46.69,25.31,77.56
1494000,44.09,25.23,77.42
1496000,44.45,25.29,77.51
1498000,43.06,26.07,78.93
1500000,45.95,25.15,77.28
1502000,46.8,25.09,77.15
1504000,42.88,25.89,78.6
1506000,46.47,24.82,76.67
1508000,44.43,24.98,76.97
1510000,46.23,24.52,76.14
1512000,42.08,24.79,76.62
1514000,42.57,24.86,76.75
1516000,45.46,25.15,77.28
1518000,44.92,25.47,77.84
1520000,41.58,25.86,78.55
1522000,45.2,25.04,77.07
1524000,45.6,25.83,78.5
1526000,44.51,25.75,78.36
1528000,42.12,24.3,75.75
1530000,43.4,25.32,77.57
1532000,44.24,25.39,77.7
1534000,43.64,25.52,77.93
1536000,45.72,25.48,77.86
1538000,43.56,25.56,78.02
1540000,46.18,25.53,77.96
1542000,46.59,24.13,75.44
1544000,44.9,25.62,78.12
1546000,45.93,25.35,77.62
1548000,45.86,25.49,77.88
1550000,42.32,25.65,78.18
1552000,45.25,25.17,77.3
1554000,44.07,25.65,78.16
1556000,46.42,24.86,76.75
1558000,44.62,25.18,77.32
1560000,43.69,24.84,76.71
1562000,45.35,26.11,79.0
1564000,46.87,24.89,76.8
1566000,46.14,25.02,77.04
1568000,43.89,25.06,77.1
1570000,46.75,24.66,76.39
1572000,43.36,25.76,78.36
1574000,46.23,24.81,76.66
1576000,45.56,25.2,77.36
1578000,45.34,24.91,76.83
1580000,46.9,25.28,77.5
1582000,46.51,25.04,77.07
1584000,46.69,24.68,76.42
1586000,46.63,25.55,77.99
1588000,45.09,25.56,78.01
1590000,44.92,25.84,78.51
1592000,46.79,24.68,76.43
1594000,47.9,24.12,75.41
1596000,47.45,24.63,76.33
1598000,44.61,25.02,77.03
1600000,43.82,25.57,78.02
1602000,42.7,24.67,76.4
1604000,42.44,25.43,77.78
1606000,46.12,24.76,76.58
1608000,44.58,25.26,77.47
1610000,47.21,24.63,76.33
1612000,46.46,24.99,76.98
1614000,47.28,25.3,77.55
1616000,44.55,24.26,75.68
1618000,43.7,25.17,77.3
1620000,45.18,24.7,76.47
1622000,43.61,25.02,77.04
1624000,46.22,25.16,77.29
1626000,45.5,25.12,77.21
1628000,44.62,25.27,77.49
1630000,45.53,24.63,76.34
1632000,43.79,24.67,76.4
1634000,46.17,25.13,77.23
1636000,42.96,24.79,76.62
1638000,44.5,25.89,78.6
1640000,47.65,25.97,78.75
1642000,44.73,24.77,76.59
1644000,46.97,23.83,74.9
1646000,44.71,24.47,76.05
1648000,43.13,25.04,77.07
1650000,45.91,23.96,75.12
1652000,47.3,26.35,79.44
1654000,45.01,23.87,74.96
1656000,44.93,25.92,78.66
1658000,45.59,24.42,75.96
1660000,45.52,25.71,78.27
1662000,48.06,24.92,76.85
1664000,47.28,25.23,77.41
1666000,42.18,25.04,77.07
1668000,46.01,25.11,77.2
1670000,48.29,25.08,77.14
1672000,44.38,24.6,76.29
1674000,43.38,24.58,76.25
1676000,46.13,25.26,77.47
1678000,44.75,25.0,77.0
1680000,45.6,24.56,76.21
1682000,44.86,24.43,75.98
1684000,42.71,24.77,76.58
1686000,45.39,24.58,76.24
1688000,45.44,24.69,76.44
1690000,46.99,25.11,77.19
1692000,45.79,25.06,77.12
1694000,47.03,25.37,77.67
1696000,46.82,25.5,77.89
1698000,45.45,25.04,77.07
1700000,46.55,25.11,77.2
1702000,44.76,24.85,76.73
1704000,44.83,25.4,77.72
1706000,43.29,25.24,77.43
1708000,44.2,24.74,76.53
1710000,45.42,24.5,76.09
1712000,45.21,25.85,78.53
1714000,43.49,24.91,76.84
1716000,44.54,25.73,78.32
1718000,45.86,24.36,75.85
1720000,41.48,24.72,76.49
1722000,42.25,23.71,74.68
1724000,42.59,25.0,77.0
1726000,44.88,24.91,76.85
1728000,45.65,24.27,75.68
1730000,43.65,25.08,77.15
1732000,43.79,25.6,78.07
1734000,46.37,25.19,77.35
1736000,45.58,25.17,77.3
1738000,46.99,24.48,76.07
1740000,44.27,24.63,76.33
1742000,46.72,24.77,76.59
1744000,47.23,25.25,77.46
1746000,44.59,25.17,77.3
1748000,45.94,25.84,78.5
1750000,44.71,25.54,77.97
1752000,45.33,24.74,76.54
1754000,45.84,25.38,77.68
1756000,44.4,25.93,78.67
1758000,46.8,24.94,76.89
1760000,43.84,24.68,76.42
1762000,44.82,25.85,78.53
1764000,44.03,25.81,78.47
1766000,44.93,25.09,77.16
1768000,46.53,25.62,78.12
1770000,45.73,24.86,76.75
1772000,45.55,25.34,77.61
1774000,42.31,24.13,75.44
1776000,43.55,25.9,78.63
1778000,45.96,24.08,75.35
1780000,45.62,25.15,77.27
1782000,46.68,25.22,77.39
1784000,45.23,25.26,77.46
1786000,42.6,25.75,78.35
1788000,44.72,24.68,76.42
1790000,46.97,25.43,77.78
1792000,44.27,24.69,76.44
1794000,44.8,25.87,78.57
1796000,45.49,25.32,77.57
1798000,45.81,25.74,78.33
1800000,44.15,24.12,75.42
1802000,46.07,25.2,77.36
